Ticker,Keywords
AAL,American Airlines
AAPL,Apple
ABBV,AbbVie
ABNB,Airbnb
ACB,Aurora Cannabis
AMC,AMC Entertainment
AMD,AMD
AMZN,Amazon;Bezos
APHA,Aphria
ARKK,ARK Innovation ETF
ATVI,Activision Blizzard
AUY,Yamana Gold
AZN,AstraZeneca
BA,Boeing
BABA,Alibaba
BAC,Bank of America
BB,Blackberry
BILI,Bilibili
BLNK,Blink Charging
BNGO,Bionano Genomics
BP,British Petroleum
BRK.B,Berkshire Hathaway
BYND,Beyond Meat
CCIV,Churchill Capital
CCL,Carnival
CGC,Canopy Growth
CHK,Chesapeake Energy
COST,Costco
CPE,Callon Petroleum
CPRX,Catalyst Pharmaceuticals
CRBP,Corbus Pharmaceuticals
CRM,Salesforce
CRON,Cronos Group
CRSP,CRISPR
CSCO,Cisco
DAL,Delta Air Lines
DBX,Dropbox
DIS,Disney
DKNG,Draftkings
DNR,Denbury
ENPH,Enphase Energy
ERI,Eldorado Resorts
ET,Energy Transfer
F,Ford Motor
FB,Facebook
FCEL,FuelCell Energy
FIT,Fitbit
FSLY,Fastly
GEVO,Gevo
GILD,Gilead Sciences
GLUU,Glu Mobile
GM,GM
GME,GameStop
GNUS,Genius Brands
GOOGL,Google
GPRO,GoPro
GPS,Gap
GRPN,Groupon
GUSH,Direxion
HAL,Halliburton
HEXO,Hexo
IBIO,iBio
IDEX,Ideanomics
INO,Inovio
INTC,Intel
IQ,iQIYI
IVR,Invesco Mortgage
JBLU,JetBlue Airways
JD,JD.com
JNJ,Johnson & Johnson
JPM,JPMorgan Chase
KO,Coca-Cola
KODK,Kodak
KOS,Kosmos Energy
LI,Li Auto Inc
LK,Luckin Coffee
LLNW,Limelight Networks
LUV,Southwest Airlines
LYFT,Lyft
M,Macy's
MFA,MFA Financial
MGM,MGM Resorts
MJ,ETFMG
MRNA,Moderna
MRO,Marathon Oil
MSFT,Microsoft
MU,Micron Technology
NCLH,Norwegian Cruise
NFLX,Netflix
NKE,Nike
NKLA,Nikola
NNDM,Nano Dimension
NOK,Nokia
NRZ,New Residential
NTDOY,Nintendo
NVAX,Novavax
NVDA,NVIDIA
NYMT,New York Mortgage
OCGN,Ocugen
OGI,OrganiGram
OPK,OPKO Health
OXY,Occidental Petroleum
PCG,PG&E
PENN,Penn National
PFE,Pfizer
PINS,Pinterest
PLAY,Dave & Buster
PLTR,Palantir;Alex Karp
PLUG,Plug Power
PSEC,Prospect Capital
PTON,Peloton
PYPL,PayPal
QS,QuantumScape
RCL,Royal Caribbean
RIOT,Riot Blockchain
RKT,Rocket Companies
ROKU,Roku
S,Sprint
SAVE,Spirit Airlines
SBUX,Starbucks;Kevin Johnson
SDC,SmileDirectClub
SHIP,Seanergy
SHOP,Shopify;Tobias Lutke
SIRI,Sirius XM
SNAP,Snapchat
SNDL,Sundial Growers
SNE,Sony;Kenichiro
SOLO,Electrameccanica
SPCE,Virgin Galactic;Michael Colglazier
SPHD,PowerShares
SPY,SPDR;Rory Tobin
SQ,Square
SRNE,Sorrento
T,AT&T;John Stankey
TCEHY,Tencent;Pony Ma
TLRY,Tilray;Brendan Kennedy
TSLA,Tesla;Elon Musk
TWLO,Twilio;Jeff Lawson
TWTR,Twitter;Jack Dorsey
TXMD,TherapeuticsMD
UAL,United Airlines
UBER,Uber
UCO,ProShares Ultra
USO,United States Oil
V,Visa;Alfred Kelly
VKTX,Viking Therapeutics
VOO,Vanguard S&P
VSLR,Vivint Solar
VTI,Vanguard Total
VXRT,Vaxart
VZ,Verizon
WFC,Wells Fargo
WKHS,Workhorse
WMT,Walmart;Doug McMillon
WORK,Slack;Stewart Butterfield
XOM,Exxon
XPEV,XPeng
ZM,Zoom
ZNGA,Zynga
ZOM,Zomedica
NEPT,Neptune Wellness
CVS,CVS
CARA,Cara Therapeutics
SPWR,SunPower
TEVA,Teva Pharmaceutical
UAA,Under Armour
MCD,McDonald;Big Mac;McDouble
SFIX,Stitch Fix
BOTZ,Global X Robotics
KHC,Kraft
WM,Waste Management
TGT,Target